# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x694FE800  0x00000800  -
0x694FF000  0x00000800  +
0x694FF800  0x00000800  -
0x69500000  0x00040000  +
0x69540000  0x00000800  -
0x69540800  0x00000800  +
0x69541000  0x00000800  -
0x69541800  0x00000800  +
0x69542000  0x00000800  -
0x69542800  0x00000800  +
0x69543000  0x00000800  -
0x69543800  0x00000800  +
0x69544000  0x00000800  -
0x69544800  0x00000800  +
0x69545000  0x00000800  -
0x69545800  0x00000800  +
0x69546000  0x00000800  -
0x69546800  0x00000800  +
0x69547000  0x00000800  -
0x69547800  0x00010800  +
0x69558000  0x00000800  -
0x69558800  0x00000800  +
0x69559000  0x00000800  -
0x69559800  0x00000800  +
0x6955A000  0x00000800  -
0x6955A800  0x00000800  +
0x6955B000  0x00000800  -
0x6955B800  0x00000800  +
0x6955C000  0x00000800  -
0x6955C800  0x00000800  +
0x6955D000  0x00000800  -
0x6955D800  0x00000800  +
0x6955E000  0x00000800  -
0x6955E800  0x00000800  +
0x6955F000  0x00000800  -
0x6955F800  0x00056800  +
0x695B6000  0x00000800  -
0x695B6800  0x00000800  +
0x695B7000  0x00000800  -
0x695B7800  0x00010800  +
0x695C8000  0x00000800  -
0x695C8800  0x00000800  +
0x695C9000  0x00000800  -
0x695C9800  0x00000800  +
0x695CA000  0x00000800  -
0x695CA800  0x00000800  +
0x695CB000  0x00000800  -
0x695CB800  0x00000800  +
0x695CC000  0x00000800  -
0x695CC800  0x00000800  +
0x695CD000  0x00000800  -
0x695CD800  0x00000800  +
0x695CE000  0x00000800  -
0x695CE800  0x00000800  +
0x695CF000  0x00000800  -
0x695CF800  0x00010800  +
0x695E0000  0x00000800  -
0x695E0800  0x00000800  +
0x695E1000  0x00000800  -
0x695E1800  0x00000800  +
0x695E2000  0x00000800  -
0x695E2800  0x00000800  +
0x695E3000  0x00000800  -
0x695E3800  0x00000800  +
0x695E4000  0x00000800  -
0x695E4800  0x00000800  +
0x695E5000  0x00000800  -
0x695E5800  0x00000800  +
0x695E6000  0x00000800  -
0x695E6800  0x00000800  +
0x695E7000  0x00000800  -
0x695E7800  0x00010800  +
0x695F8000  0x00000800  -
0x695F8800  0x00000800  +
0x695F9000  0x00000800  -
0x695F9800  0x00000800  +
0x695FA000  0x00000800  -
0x695FA800  0x00000800  +
0x695FB000  0x00000800  -
0x695FB800  0x00000800  +
0x695FC000  0x00000800  -
0x695FC800  0x00000800  +
0x695FD000  0x00000800  -
0x695FD800  0x00000800  +
0x695FE000  0x00000800  -
0x695FE800  0x00000800  +
0x695FF000  0x00000800  -
0x695FF800  0x00023000  +
0x69622800  0x00000800  -
0x69623000  0x00000800  +
0x69623800  0x00000800  -
0x69624000  0x00000800  +
0x69624800  0x00000800  -
0x69625000  0x00000800  +
0x69625800  0x00000800  -
0x69626000  0x00000800  +
0x69626800  0x00000800  -
0x69627000  0x00000800  +
0x69627800  0x00000800  -
0x69628000  0x00010800  +
0x69638800  0x00000800  -
0x69639000  0x00000800  +
0x69639800  0x00000800  -
0x6963A000  0x00000800  +
0x6963A800  0x00000800  -
0x6963B000  0x00000800  +
0x6963B800  0x00000800  -
0x6963C000  0x00000800  +
0x6963C800  0x00000800  -
0x6963D000  0x00000800  +
0x6963D800  0x00000800  -
0x6963E000  0x00000800  +
0x6963E800  0x00000800  -
0x6963F000  0x00000800  +
0x6963F800  0x00000800  -
0x69640000  0x00010800  +
0x69650800  0x00000800  -
0x69651000  0x00000800  +
0x69651800  0x00000800  -
0x69652000  0x00000800  +
0x69652800  0x00000800  -
0x69653000  0x00000800  +
0x69653800  0x00000800  -
0x69654000  0x00000800  +
0x69654800  0x00000800  -
0x69655000  0x00000800  +
0x69655800  0x00000800  -
0x69656000  0x00000800  +
0x69656800  0x00000800  -
0x69657000  0x00000800  +
0x69657800  0x00000800  -
0x69658000  0x00010800  +
0x69668800  0x00000800  -
0x69669000  0x00000800  +
0x69669800  0x00000800  -
0x6966A000  0x00000800  +
0x6966A800  0x00000800  -
0x6966B000  0x00000800  +
0x6966B800  0x00000800  -
0x6966C000  0x00000800  +
0x6966C800  0x00000800  -
0x6966D000  0x00000800  +
0x6966D800  0x00000800  -
0x6966E000  0x00000800  +
0x6966E800  0x00000800  -
0x6966F000  0x00000800  +
0x6966F800  0x00000800  -
0x69670000  0x00010800  +
0x69680800  0x00000800  -
0x69681000  0x00057000  +
0x696D8000  0x00000800  -
0x696D8800  0x00000800  +
0x696D9000  0x00000800  -
0x696D9800  0x00000800  +
0x696DA000  0x00000800  -
0x696DA800  0x00000800  +
0x696DB000  0x00000800  -
0x696DB800  0x00000800  +
0x696DC000  0x00000800  -
0x696DC800  0x00000800  +
